0,1
53270,"[540001, 50277609, 19276003, 603295, 11276962, 2213325, 427722, 13828940, 38143336, 31954825]"
91213,"[474168, 439874, 475374, 50440317, 31840387, 863707, 500769, 1535021, 859057, 472441]"
56289,"[463284, 7959221, 339327, 49640909, 427882, 8470212, 58395901, 400017, 442783, 447869]"
88524,"[51598547, 463284, 10697068, 49640909, 542759, 2612575, 475374, 53249480, 481224, 442774]"
72126,"[474168, 7959221, 50277619, 49640909, 475374, 50440317, 442774, 7125303, 8470212, 442778]"
131996,"[51036508, 13624117, 51598547, 343300, 7959221, 10697068, 49640909, 2612575, 20918798, 53249480]"
9077,"[343300, 7959221, 686668, 11255089, 2612575, 11713390, 1076424, 15634590, 19276003, 11228097]"
113186,"[463284, 7959221, 339327, 2612575, 400017, 447869, 450870, 475828, 545548, 5146211]"
34988,"[474168, 50277619, 49640909, 50440317, 58395901, 1535021, 35862117, 3642995, 863705, 859057]"
119325,"[51598547, 7959221, 686668, 11255089, 10697068, 439874, 53249480, 32915039, 15634590, 19276003]"
55358,"[4097791, 17937805, 50298244, 2916527, 31954825, 49659437, 901828, 7918036, 373763, 439906]"
3750,"[58441480, 3212477, 463284, 56511851, 29254205, 58129503, 831413, 58395901, 400017, 442783]"
108161,"[343300, 2612575, 47242745, 484305, 571100, 7125303, 7125305, 400017, 50594222, 3336551]"
103974,"[50440317, 47242745, 571100, 400017, 48583258, 50594222, 3336551, 50350065, 3336541, 3336545]"
79136,"[13624117, 427704, 400017, 50594222, 3336551, 50350065, 52726661, 13624139, 475974, 393554]"
52494,"[3071851, 463284, 50440317, 47242745, 571100, 400017, 20421650, 3336551, 415936, 457257]"
12391,"[50277619, 47242745, 571100, 38417457, 50594222, 3336551, 44640289, 52726661, 35862117, 475974]"
114449,"[47242745, 571100, 393554, 55074315, 55089997, 55074317, 42116006, 55138389, 580142, 51253435]"
82888,"[686668, 352800, 50440317, 32080645, 47242745, 571100, 58395901, 16284268, 59548341, 50350065]"
4870,"[53777523, 16084563, 16391543, 4780901, 50353488, 44017561, 59043891, 56205269, 33543717, 6313673]"
3551,"[47242745, 571100, 48583258, 50594222, 3336551, 44640289, 52726661, 393554, 55074313, 42116006]"
14654,"[571100, 15212374, 434868, 10866299, 5399887, 10738198, 5399883, 5399879, 5399871, 5399867]"
89418,"[51036508, 47242745, 13624111, 13624125, 427704, 50594222, 3336551, 52726661, 15212374, 434868]"
118704,"[442774, 571100, 442778, 427704, 400017, 442783, 23799983, 450870, 13624139, 434867]"
29063,"[47504722, 50904588, 374106, 2916523, 17032458, 10325548, 10920495, 45613717, 3737965, 922389]"
123565,"[3071851, 373124, 20918798, 13624125, 571100, 383364, 13624139, 859057, 511298, 434868]"
128090,"[3071851, 59235430, 343300, 686668, 373124, 50440317, 1060864, 1060858, 484305, 2794087]"
99744,"[58441480, 59235430, 568145, 51036508, 13624117, 51598547, 474168, 383386, 343300, 339327]"
20231,"[58441480, 481224, 20446296, 542923, 542980, 9771454, 3494913, 12385895, 22371563, 447845]"
76563,"[475374, 427704, 863707, 20699899, 1057434, 511298, 1024355, 7822079, 51491975, 1939717]"
79496,"[475374, 32080645, 1060864, 1060858, 603295, 50594222, 3336551, 47504722, 52726661, 1060870]"
87960,"[3071851, 59235430, 463284, 50277619, 49640909, 2612575, 475374, 50440317, 32080645, 1060864]"
