0,1
53270,"[3071851, 568145, 474168, 7959221, 339327, 532318, 10697068, 439874, 2612575, 32080645]"
91213,"[49659437, 54809933, 970220, 4483791, 777253, 463044, 395735, 20647237, 568144, 52329760]"
56289,"[568145, 475828, 859057, 393554, 49659437, 15264907, 51040335, 22135939, 27962195, 10325548]"
88524,"[568145, 500769, 859057, 393554, 474165, 2612565, 423480, 49659437, 15186768, 55074317]"
72126,"[59235430, 568145, 474168, 343300, 7959221, 47278760, 10697068, 470897, 373124, 20918798]"
131996,"[59235430, 568145, 51036508, 13624117, 474168, 343300, 7959221, 339327, 47278760, 55187168]"
9077,"[59235430, 568145, 474168, 339327, 47278760, 352800, 470897, 373124, 20918798, 650004]"
113186,"[49659437, 2291097, 17371076, 31509726, 777253, 395735, 14197789, 49960438, 67370867, 54809933]"
34988,"[49659437, 27962195, 54809933, 970220, 980920, 2644375, 17371076, 16440471, 480687, 2224869]"
119325,"[568145, 474168, 343300, 7959221, 47278760, 352800, 58397035, 470897, 20918798, 650004]"
55358,"[777253, 980920, 543197, 10866305, 463044, 49659437, 54809933, 2245453, 35170705, 340631]"
3750,"[777253, 4483791, 2291097, 463044, 576121, 970220, 54809933, 787753, 8848897, 17371076]"
108161,"[3071851, 59235430, 568145, 13624117, 51598547, 474168, 343300, 7959221, 339327, 47278760]"
103974,"[3071851, 59235430, 568145, 474168, 343300, 7959221, 339327, 47278760, 11255089, 29254205]"
79136,"[3071851, 59235430, 568145, 474168, 343300, 339327, 55187168, 352800, 10697068, 470897]"
52494,"[568145, 474168, 650004, 447869, 475828, 47504722, 44640289, 859057, 542980, 20699899]"
12391,"[49659437, 27962195, 68330624, 2006679, 2291097, 575916, 54809933, 481515, 9948023, 52329760]"
114449,"[3071851, 59235430, 568145, 11255089, 29254205, 439874, 373124, 650004, 53249480, 1060864]"
82888,"[3071851, 59235430, 568145, 474168, 7959221, 11255089, 2612575, 20918798, 650004, 442778]"
4870,"[777253, 49659437, 2224869, 13958442, 47438208, 583680, 48613094, 58067810, 37410507, 543197]"
3551,"[568145, 474168, 7959221, 2612575, 20918798, 650004, 53249480, 481224, 411489, 442778]"
14654,"[3071851, 568145, 474168, 343300, 339327, 47278760, 2612575, 20918798, 53249480, 1076424]"
89418,"[3071851, 59235430, 568145, 51036508, 474168, 343300, 7959221, 47278760, 29254205, 352800]"
118704,"[568145, 474168, 650004, 17937805, 48583258, 447869, 500769, 475828, 44640289, 859057]"
29063,"[777253, 49659437, 463044, 4483791, 8848897, 2291097, 2224869, 17371076, 54809933, 579823]"
123565,"[568145, 474168, 343300, 7959221, 2612575, 32080645, 20918798, 650004, 58129503, 7125303]"
128090,"[568145, 474168, 470897, 2612575, 20918798, 650004, 427882, 481224, 58129503, 7125303]"
99744,"[777253, 49659437, 2291097, 49960438, 429150, 395735, 568144, 4483791, 1694077, 463044]"
20231,"[568145, 29254205, 2612575, 58129503, 13624111, 442778, 48583258, 752476, 56511853, 542923]"
76563,"[54809933, 9948023, 480687, 777253, 395735, 32802795, 49960438, 48613094, 10325548, 1590659]"
79496,"[14645351, 777253, 2224869, 395735, 970220, 20647237, 54809933, 463044, 10694712, 787753]"
87960,"[3071851, 568145, 13624117, 343300, 7959221, 47278760, 29254205, 439874, 373124, 14645347]"
2011,"[49659437, 2291097, 17371076, 31509726, 583680, 777253, 543197, 49960438, 47321855, 52329760]"
5798,"[777253, 543197, 49960438, 54809933, 58067810, 10866305, 10694712, 1710667, 395735, 44447043]"
534,"[777253, 54809933, 2291097, 4483791, 49659437, 543197, 463044, 6543923, 579823, 1028804]"
19368,"[40933977, 777253, 32490132, 508372, 859055, 2291097, 4483791, 49659437, 480687, 9948023]"
56147,"[3071851, 59235430, 568145, 51036508, 13624117, 51598547, 474168, 343300, 7959221, 339327]"
8699,"[59235430, 568145, 51036508, 13624117, 51598547, 474168, 47278760, 55187168, 29254205, 352800]"
114346,"[3071851, 59235430, 568145, 51036508, 474168, 7959221, 47278760, 56511851, 11255089, 532318]"
53471,"[568145, 13624117, 474168, 7959221, 29254205, 352800, 10697068, 14645347, 2612575, 20918798]"
122473,"[49659437, 777253, 57979766, 970220, 577075, 54809933, 5947751, 950927, 20647237, 437531]"
16232,"[3071851, 59235430, 568145, 51036508, 474168, 343300, 339327, 47278760, 55187168, 11255089]"
2604,"[49659437, 54809933, 2224869, 4483791, 777253, 576121, 57979766, 49960438, 583680, 480687]"
53118,"[434868, 474165, 3494913, 49659437, 55074317, 806660, 11194580, 15634596, 46931917, 68330624]"
92880,"[3071851, 59235430, 568145, 474168, 10697068, 439874, 32080645, 20918798, 650004, 4097791]"
60710,"[3071851, 568145, 474168, 10697068, 650004, 58129503, 442774, 7125303, 1076424, 8470212]"
16451,"[3071851, 568145, 51036508, 13624117, 474168, 343300, 7959221, 10697068, 470897, 2612575]"
41569,"[3071851, 59235430, 568145, 13624117, 474168, 343300, 7959221, 339327, 47278760, 29254205]"
41725,"[777253, 576121, 48659057, 17371076, 463044, 787753, 425716, 8848897, 1736715, 2245453]"
73150,"[474168, 423480, 49659437, 447845, 806660, 32737049, 4060883, 457289, 11194580, 15634596]"
83374,"[568145, 474168, 2612575, 442778, 500769, 475828, 5146211, 50350065, 44640289, 565647]"
119574,"[3071851, 568145, 13624117, 474168, 343300, 7959221, 339327, 55187168, 29254205, 10697068]"
9521,"[3071851, 59235430, 568145, 13624117, 474168, 7959221, 532318, 29254205, 439874, 470897]"
96710,"[59235430, 568145, 51036508, 51598547, 474168, 343300, 7959221, 339327, 460512, 352800]"
7583,"[3071851, 568145, 474168, 339327, 373124, 2612575, 650004, 58129503, 7125303, 603295]"
