user,raw_id_product,rating
53270,58441480,5
91213,58441480,4
56289,3071851,5
88524,3071851,5
72126,3071851,5
131996,3071851,5
9077,3071851,5
113186,3071851,5
34988,59235430,5
119325,59235430,5
55358,568145,5
3750,568145,5
108161,51036508,5
103974,51036508,5
79136,51036508,5
52494,51036508,5
12391,51036508,5
114449,51036508,5
82888,51036508,5
4870,51036508,4
3551,51036508,5
14654,13624117,5
89418,13624117,5
118704,13624117,5
29063,13624117,4
123565,13624117,5
128090,51598547,5
99744,3212477,4
55358,3212477,4
20231,474168,5
76563,474168,5
79496,474168,5
87960,474168,5
2011,463284,5
5798,463284,4
534,463284,3
19368,383386,3
56147,383386,5
8699,343300,5
114346,343300,5
53471,343300,5
122473,343300,5
128090,7959221,5
88524,7959221,5
16232,7959221,5
2604,339327,5
53118,47278760,5
92880,55187168,5
60710,686668,5
16451,686668,5
41569,686668,5
41725,686668,4
53270,56511851,5
73150,460512,5
83374,11255089,5
119574,11255089,5
9521,11255089,5
96710,11255089,5
7583,50277619,4
65630,50277619,5
19277,532318,5
55358,29254205,5
44365,352800,5
9800,352800,5
128090,10697068,5
7583,10697068,5
89757,439874,5
66066,58397035,5
14657,476144,4
53118,476144,5
65736,476144,5
90422,49640909,1
69925,49640909,5
120202,470897,5
107746,470897,5
31988,542759,4
16451,1938911,5
50010,373124,5
104154,14645347,5
82277,2612575,5
72126,2612575,5
60112,2612575,5
37140,2612575,5
89109,2612575,5
20231,475374,5
107746,475374,4
7499,475374,5
16232,475374,5
118185,50440317,4
16451,50440317,5
7583,50440317,5
122482,50440317,5
65447,50440317,5
125328,50440317,5
63996,32080645,5
78309,20918798,5
56147,10738192,5
66066,10738192,5
43515,10738192,4
60612,10738192,5
100113,10738192,2
132520,532305,5
34988,650004,5
27560,650004,5
128090,53249480,5
17788,53249480,5
79136,47242745,5
65023,427882,5
119574,11713390,5
9521,11713390,5
53108,11713390,4
114578,11713390,5
96710,11713390,5
38135,32915039,5
88589,32915039,5
30296,1060864,5
76524,4097791,5
85603,18003514,3
107746,481224,5
30296,1060858,5
55358,58129503,5
76524,17937805,5
52645,17937805,5
62701,17937805,5
17767,484305,3
30727,484305,5
79919,540001,2
122438,540001,5
58511,50277609,5
72069,50277609,4
14654,13624111,5
118704,13624111,5
123565,13624111,5
14654,13624125,5
118704,13624125,5
29063,13624125,4
73150,49377595,5
27033,442774,4
2011,442774,5
12555,442774,5
2604,442774,5
534,442774,3
113186,442774,5
89418,571100,5
79136,571100,5
25707,2794087,5
60112,7125303,5
37140,7125303,5
89109,7125303,5
114346,1076424,5
51538,1076424,5
53471,1076424,5
122473,1076424,5
90422,8470212,5
12834,411489,5
18906,411489,5
27033,442778,5
2011,442778,5
12555,442778,5
2604,442778,5
534,442778,3
6106,442778,5
113186,442778,5
10890,831413,5
55358,831413,4
41569,4696363,5
10498,922393,5
49856,15634590,1
119574,15634590,5
9521,15634590,5
78207,15634590,5
114578,15634590,5
96710,15634590,5
83374,15634590,5
104049,31840387,5
9481,427704,5
40849,427704,5
46544,58395901,5
66066,58397037,5
76563,20446296,5
25707,2794043,5
62807,19276003,5
60112,7125305,5
37140,7125305,5
89109,7125305,5
120005,603295,5
34308,603295,5
31601,33543697,5
115016,16284268,5
2011,400017,4
7722,400017,5
534,400017,3
16612,400017,5
12555,400017,5
2604,400017,5
11722,400017,4
8586,400017,5
5798,400017,5
43241,400017,5
10890,400017,5
10498,400017,5
